,created_at,favorite_count,id_str,in_reply_to_user_id_str,is_retweet,retweet_count,source,text
3936,Fri Jan 22 15:51:48 +0000 2016,8989,690562515500032000,,False,4294,Twitter for Android,"""@WhiteGenocideTM: @realDonaldTrump Poor Jeb. I could've sworn I saw him outside Trump Tower the other day! https://t.co/e5uLRubqla"""
3937,Fri Jan 22 15:45:33 +0000 2016,3610,690560942430523392,,False,1106,Twitter for Android,"""@Lisa_Milicaj: Truth be told, I  never heard of The National Review until they ""tried"" to declare war on you. No worries, you got my vote!"""
3938,Fri Jan 22 15:42:18 +0000 2016,4792,690560125916975104,,False,1655,Twitter for Android,"After spending $89 million, @JebBush is at the bottom of the barrel in polls. He is ashamed to use the name ""Bush"" in ads. Low energy guy!"
3939,Fri Jan 22 14:24:15 +0000 2016,5327,690540484154896384,,False,2107,Twitter for Android,The failing @NRO National Review Magazine has just been informed by the Republican National Committee that they cannot participate in debate
3940,Fri Jan 22 14:10:54 +0000 2016,4122,690537121916923904,,False,1735,Twitter for Android,"""@MiamiNewTimes: Poll: Trump has more support in Florida than Rubio and Bush combined. https://t.co/uvH2BKQRHf https://t.co/2tvIaa2aFr"""
3941,Fri Jan 22 14:00:47 +0000 2016,2324,690534576066719744,,False,796,Twitter for Android,"""@CyberCiety: #MaryBrigidMcManamon clarified how #CommonLaw is used to interpret meaning of #NaturalBorn #TedCruz https://t.co/5y6SZrTdGr"""
3942,Fri Jan 22 13:59:21 +0000 2016,2335,690534215478173697,,False,871,Twitter for Android,"""@D: #MaryBrigidMcManamon, Washington Post: Constitutionally speaking, #Cruz simply isn’t eligible to be president https://t.co/DBtTgsC1il"""
3943,Fri Jan 22 13:54:21 +0000 2016,4647,690532959363866625,,False,1932,Twitter for Android,"Highly respected Constitutional law professor Mary Brigid McManamon has just stated, ""Ted Cruz is not eligible to be President."" Big problem"
3944,Fri Jan 22 13:43:15 +0000 2016,1923,690530164711624705,,False,636,Twitter for Android,"""@TruBluMajority: #laurencetribe calls Cruz ""constitutional hypocrite"" on @WBUR https://t.co/qRFINtcJlX @pbsgwen @charlierose @jaketapper"
3945,Fri Jan 22 13:41:22 +0000 2016,2109,690529690205818880,,False,750,Twitter for Android,"#TedCruz eligibility to be President not settled law, says Cruz' Constitutional Law Professor, #LaurenceTribe https://t.co/GWKoJsBINZ"""
