datetime,state,country,latitude,longitude
10/11/2005 21:00,nj,us,40.8527778,-74.0425
10/11/2005 21:00,ia,us,42.2711111,-95.0927778
10/11/2006 1:25,tn,us,36.1658333,-86.7844444
10/11/2006 11:29,wa,us,47.8211111,-122.3138889
10/11/2006 19:00,ca,us,34.0625,-118.12194440000002
10/11/2006 19:30,mn,us,47.0227778,-91.6705556
10/11/2006 20:45,fl,us,30.4211111,-87.2169444
10/11/2006 21:00,fl,us,30.6322222,-87.0397222
10/11/2006 21:32,ca,us,34.2241667,-118.23916670000001
10/11/2006 22:00,ok,us,36.3955556,-97.8780556
10/11/2006 23:00,tx,us,35.5361111,-100.9594444
10/12/2006 936048:00:00,ny,us,43.2127778,-75.45611109999999
10/11/2007 4:40,ky,us,39.0297222,-84.3663889
10/11/2007 10:10,or,us,45.2944444,-123.17527779999999
10/11/2007 16:00,or,us,45.4077778,-122.56916670000001
10/11/2007 19:50,wa,us,47.6063889,-122.33083329999998
10/11/2007 20:00,il,us,41.4958333,-87.84861109999999
10/11/2007 20:15,sc,us,35.0241667,-81.0280556
10/11/2007 20:30,al,us,30.2458333,-87.7008333
10/11/2008 2:35,ca,us,34.1480556,-117.99805559999999
10/11/2008 4:30,tx,us,25.9013889,-97.49722220000001
10/11/2008 6:00,ca,us,37.9780556,-122.03
10/11/2008 13:00,nc,us,35.6708333,-80.4744444
10/11/2008 19:00,ct,us,41.1669444,-73.20527779999999
10/11/2008 19:00,md,us,39.5122222,-76.7697222
10/11/2008 19:00,ca,us,33.9533333,-117.39527779999999
10/11/2008 19:30,fl,us,26.1416667,-81.795
10/11/2008 20:30,tx,us,31.2577778,-95.9780556
10/11/2008 22:20,nm,us,35.0844444,-106.65055559999999
10/11/2008 22:30,ca,us,34.0522222,-118.2427778
10/11/2009 2:45,ny,us,40.7616667,-73.3297222
10/11/2009 4:00,md,us,37.9833333,-75.85416670000001
10/11/2009 9:45,mi,us,42.3713889,-83.47027779999999
10/11/2009 12:30,az,us,33.5386111,-112.1852778
10/11/2009 18:00,ky,us,38.2541667,-85.7594444
10/11/2009 18:00,tx,us,32.9027778,-96.56361109999999
10/11/2009 18:05,fl,us,26.7052778,-80.0366667
10/11/2009 19:00,ri,us,41.9666667,-71.55
10/11/2009 19:50,in,us,39.5741667,-86.86527779999999
10/11/2009 21:55,wi,us,43.0730556,-89.4011111
10/11/2010 0:30,ca,us,33.8491667,-118.3875
10/11/2010 4:50,ny,us,42.6525,-73.7566667
10/11/2010 6:20,fl,us,26.7052778,-80.0366667
10/11/2010 12:30,ca,us,38.6786111,-121.2247222
10/11/2010 19:40,mn,us,44.8277778,-92.9436111
10/11/2010 20:50,ca,us,34.1361111,-117.86444440000001
10/11/2010 20:53,ca,us,33.0416667,-116.8672222
10/11/2010 21:35,ca,us,37.5958333,-122.01805559999998
10/11/2011 3:15,il,us,37.8902778,-88.3030556
10/11/2011 8:40,nv,us,36.0397222,-114.9811111
10/11/2011 15:00,ut,us,37.6775,-113.0611111
10/11/2011 19:40,ia,us,41.6005556,-93.60888890000001
10/11/2011 19:42,ma,us,41.6361111,-70.93472220000001
10/11/2011 21:00,ct,us,41.3325,-73.20777779999999
10/11/2011 21:10,nc,us,33.9133333,-78.3041667
10/11/2011 23:23,ky,us,37.7622222,-84.8433333
10/11/2012 1:00,ma,us,42.2625,-71.80277779999999
10/11/2012 2:45,nj,us,40.6377778,-74.45138890000001
10/11/2012 4:00,ma,us,42.6105556,-71.23472220000001
10/11/2012 8:00,in,us,41.6347222,-84.9994444
10/11/2012 14:06,wa,us,46.6022222,-120.5047222
10/11/2012 19:30,md,us,39.2544444,-76.7002778
10/11/2012 19:30,pa,us,41.2788889,-75.87861109999999
10/11/2012 19:45,ny,us,43.0830556,-73.785
10/11/2012 20:00,pa,us,41.2052778,-76.00527779999999
10/11/2012 20:30,nm,us,32.3122222,-106.7777778
10/11/2012 20:42,wa,us,47.3525,-121.9825
10/11/2012 21:00,pa,us,40.155,-74.8291667
10/11/2012 21:01,az,us,33.4483333,-112.07333329999999
10/11/2012 22:15,il,us,41.6572222,-87.68
10/12/2012 988656:00:00,nm,us,33.1283333,-107.2522222
10/11/2013 1:00,mi,us,43.4194444,-83.9508333
10/11/2013 6:13,ia,us,41.7297222,-93.6055556
10/11/2013 9:05,fl,us,26.8230556,-80.13888890000001
10/11/2013 16:35,mi,us,42.2916667,-85.58722220000001
10/11/2013 19:00,ks,us,38.9716667,-95.235
10/11/2013 19:00,oh,us,40.9780556,-81.7822222
10/11/2013 19:33,ca,us,32.7394444,-114.6338889
10/11/2013 19:50,vt,us,44.4905556,-73.11138890000001
10/11/2013 20:00,oh,us,39.1619444,-84.4569444
10/11/2013 20:00,oh,us,39.1619444,-84.4569444
10/11/2013 20:00,fl,us,26.1416667,-81.795
10/11/2013 20:00,mi,us,43.4194444,-83.9508333
10/11/2013 20:15,oh,us,39.1619444,-84.4569444
10/11/2013 20:15,ky,us,38.9458333,-84.6805556
10/11/2013 20:20,ma,us,42.4736111,-72.0066667
10/11/2013 20:45,ga,us,33.5966667,-83.86027779999999
10/11/2013 21:00,oh,us,39.7463889,-84.2866667
10/11/2013 21:00,ny,us,43.0297222,-76.0047222
10/11/2013 22:00,fl,us,26.9338889,-80.0944444
10/11/2013 22:00,fl,us,28.0833333,-80.6083333
10/11/2013 22:08,wi,us,45.3561111,-92.6333333
10/11/2013 22:10,il,us,41.88,-88.0077778
10/11/2013 23:00,oh,us,40.8758333,-81.4025
10/11/2013 23:15,mi,us,42.4566667,-83.9463889
10/1/1950 11:00,ky,us,37.4791667,-82.51888890000001
10/1/1952 12:00,mo,us,39.0997222,-94.5783333
10/1/1954 19:00,wv,us,38.7230556,-80.65
10/1/1956 19:00,nh,us,43.3652778,-72.17388890000001
10/1/1957 16:00,ak,us,61.9919444,-146.76861110000002
10/1/1957 20:30,ia,us,42.0216667,-91.35972220000001
10/1/1957 21:00,nj,us,40.9166667,-74.17222220000001
10/1/1959 16:00,ny,us,40.7141667,-74.0063889
10/1/1959 19:00,il,us,39.7338889,-90.22888890000002
10/1/1961 3:00,oh,us,41.6638889,-83.5552778
10/1/1961 3:30,ok,us,36.1538889,-95.9925
10/1/1961 19:00,tn,us,36.1658333,-86.7844444
10/1/1961 22:00,nc,us,36.0688889,-79.4008333
10/1/1965 6:40,ms,us,30.3958333,-88.8852778
10/1/1965 14:00,va,us,37.2438889,-77.4105556
10/1/1965 21:00,pa,us,41.5241667,-76.4011111
10/1/1966 20:00,ny,us,42.8863889,-78.87861109999999
10/1/1966 22:00,wa,us,48.5127778,-122.6113889
10/1/1966 22:30,ia,us,42.1083333,-91.285
10/1/1966 23:00,or,us,44.5647222,-123.26083329999999
10/1/1967 2:00,ny,us,42.5680556,-78.47916670000001
10/1/1967 13:00,il,us,38.8922222,-89.41305559999999
10/1/1967 20:00,mn,us,44.98,-93.26361109999999
10/1/1968 0:00,ma,us,42.3583333,-71.0602778
10/1/1968 20:00,me,us,43.3616667,-70.4772222
10/1/1969 16:00,ca,us,37.775,-122.41833329999999
10/1/1970 16:00,ny,us,40.7141667,-74.0063889
10/1/1970 17:30,ar,us,36.3727778,-94.20861109999998
10/1/1970 19:00,fl,us,27.9472222,-82.45861109999998
10/1/1970 21:00,ny,us,40.7141667,-74.0063889
10/1/1971 22:00,ca,us,34.1477778,-118.1436111
10/1/1972 1:00,ks,us,37.9388889,-97.0194444
10/1/1972 4:00,tx,us,33.2147222,-97.1327778
10/1/1972 20:00,tx,us,31.6261111,-97.5997222
10/1/1972 23:00,wa,us,47.8555556,-121.9697222
10/2/1972 637776:00:00,or,us,44.3977778,-122.735
10/1/1973 1:00,in,us,39.7927778,-87.3708333
10/1/1973 15:00,va,us,36.8527778,-75.9783333
10/1/1973 20:00,in,us,39.1652778,-86.52638890000001
10/1/1973 21:00,or,us,43.2166667,-123.34055559999999
10/1/1973 21:30,nv,us,36.9086111,-116.75833329999999
